animal_id,source_record_hash,dog_name,age_summary,weight_summary,breed_or_description,sex,shelter_name,location_detail,adoption_url,backstory_summary,important_facts_jsonb,risk_flags_jsonb,unknowns_jsonb,strengths_jsonb,challenges_jsonb,ideal_home_jsonb,management_notes_jsonb,other_animals_notes,people_notes,containment_notes,medical_notes,adoption_process_notes,evidence_jsonb,schema_version,extraction_model,extraction_params_jsonb,created_at,updated_at,intro_summary,age_bucket,weight_class,altered_status,info_refreshed_at
NYCACC-236732,ba39ce92c59a9d781e8b532df50b07190152e0e484449f7c7f295e03681e6b2f,Fara,3 yr,62 lbs,Unknown,Female,Animal Care Centers of NYC,"Queens, Room: 117 - Dog Adoptions B-1",https://nycacc.app/#/browse/236732,Fara was surrendered when her owner could no longer care for her. She is now looking for a home where she can feel secure and loved again.,"[""Fara is 3 years old."",""Fara weighs 62 lbs."",""Fara is a female dog."",""Fara has lived with other dogs before.""]","[""Can become overstimulated in group settings."",""Recommended for a home without young children under 5.""]","[""Altered status is unknown.""]","[""Very affectionate and enjoys being near people."",""Knows cues like sit, stay, and down."",""Walks nicely on leash."",""Enjoys car rides.""]","[""Can become anxious or overstimulated at times."",""Hind limb stiffness and possible torn CCL.""]","[""A patient adopter who can give her time to settle in."",""A calm home environment with structure and gentle guidance.""]","[""May need help with space and boundaries around other dogs."",""Responds well to calm redirection.""]","Fara has lived with other dogs and can enjoy their company, but may need help with space and boundaries.","Fara is sensitive and may need a calm environment, recommended for homes without young children under 5.",Fara walks nicely on leash and enjoys being included in shared spaces.,Hind limb stiffness and possible torn CCL noted.,N/A,"[""Fara was surrendered when her owner could no longer care for her."",""Fara is a gentle, people-focused dog who loves being close to her humans."",""Fara has lived with other dogs before and can enjoy canine company.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 22:03:35.096444+00,2026-06-15 08:31:08.001585+00,"Fara is a gentle, affectionate female dog looking for a loving home. She enjoys being close to her humans and thrives in calm environments. Fara has lived with other dogs and can enjoy their company, but she may need help with space and boundaries. She is known for her playful zoomies and loves to be included in everyday activities. Fara is ready to bring joy and companionship to a new family.",Young (1-3yrs),Large (60+lbs),N/A,2026-06-14 20:51:53.604991+00
PACC-A895787,c53dc844a8a41da37dc7cadd9e5e02b76ef8d835073aabb54b87afc2155e0432,Olive,"1 yr, 3 mo",33 lbs,Pit Bull Terrier,Female,Pima Animal Care Center,Kennel D060,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A895787,"Olive has been at the shelter since March 20, 2026. She spent a few days in a foster home where she was crate trained and walked well on a leash.","[""Spayed female"",""Black Pit Bull Terrier"",""In Kennel D060"",""Ready for adoption""]",[],[],"[""Gentle and sensitive"",""Walked well on leash"",""Crate trained""]","[""Needs time to decompress"",""Shy and nervous in new environments""]","[""A quiet home environment"",""A patient family"",""Possibly another friendly dog""]","[""Decompression cannot be rushed""]",Olive shares her kennel with another dog and has been independent and easygoing when meeting other dogs in playgroup.,"Olive is sweet and shy, needing time and TLC to decompress and trust people.",N/A,N/A,Visit during regular business hours or email pacc.adopt@pima.gov for questions regarding the adoption process.,"[""I am a spayed female, black Pit Bull Terrier."",""I have been at the shelter since Mar 20, 2026 and am ready to go home today!"",""Olive spent a few days in a foster home and we learned that she’s a sensitive sweetie who needs time and TLC to decompress.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-15 03:30:30.591655+00,2026-06-15 03:30:30.591655+00,"Olive is a gentle soul who is dreaming of a patient family who will give her sufficient time to relax and learn to trust as she settles into her forever home. She is a spayed female black Pit Bull Terrier who has been at the shelter since March 20, 2026. Olive is ready to go home today and is currently in Kennel D060. She may benefit from having a confident and friendly doggy buddy to help her settle into a new home.",Young (1-3yrs),Medium (25-60lbs),Spayed,2026-06-15 03:06:06.726499+00
NYCACC-246625,a2d0d6d27eb13cae5ae1587aec91ea29915083f3f86070808456ab44814ce198,Mercy,1 yr,46 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/246625,Mercy was taken in by the shelter on 2026-02-24 and has been in care for 110 days.,"[""Adoption fee has been reduced due to long stay."",""Mercy is a spunky and loving dog."",""She loves cuddles and belly scratches."",""Mercy has a lot of energy and needs several walks throughout the day."",""She enjoys long naps and playing with toys.""]","[""Mercy does not always like to share food, toys, or bedding with other animals."",""She pulls on the leash.""]",[],"[""Excitable and energetic."",""Loves to sniff around during walks."",""Indifferent to cars and bikes.""]","[""Needs training on leash manners.""]","[""Best in a home with only adult humans.""]","[""Needs a patient person to work on training.""]","Mercy does not always like to share her food, toys, or bedding with other animals.",Mercy is excitable and loves getting pets and snuggles.,Needs a good grip on her leash during walks.,N/A,N/A,"[""I'm a long stay pup, my adoption fee has been reduced!"",""Mercy is a spunky and loving dog that will melt your heart."",""She needs to go on several walks throughout the day."",""I will need someone to help me with my leash manners.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 22:09:19.387171+00,2026-06-15 04:00:38.303307+00,null,Young (1-3yrs),Medium (25-60lbs),N/A,2026-06-13 20:53:59.072379+00
PACC-A724301,c74ab6e912b517679399b81ee263c6e12dca91c1af529ad90cdd1d8d2f1a69e2,Harley,9 yr,89 lbs,German Shepherd Dog Mix,Male,Pima Animal Care Center,Kennel D149,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A724301,"Harley has been at the shelter since February 5, 2026, and is ready for adoption.","[""Neutered male"",""German Shepherd Dog mix"",""Weighs 89 lbs"",""9 years old"",""In kennel D149"",""At shelter since Feb 05, 2026""]",[],[],"[""Loves people"",""Enjoys toys"",""Likes walks"",""Tolerant with other dogs"",""Happy-go-lucky personality""]",[],"[""A family who will keep him safe"",""A comfy retirement home""]",[],Harley has been tolerant and respectful when meeting other dogs in playgroup.,Harley adores people and enjoys pets and snuggles.,N/A,N/A,"If you are interested in adopting this pet, visit us during regular business hours or email pacc.adopt@pima.gov for questions regarding the adoption process.","[""I am about 9 years old"",""I weigh approximately 89.40 lbs."",""I have been at the shelter since Feb 05, 2026"",""I am a neutered male, tan and white German Shepherd Dog mix"",""Harley has been tolerant and respectful when meeting other dogs in playgroup.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 23:30:55.309592+00,2026-06-13 09:00:16.763792+00,"Harley is a 9-year-old neutered male German Shepherd Dog mix looking for a loving retirement home. He weighs approximately 89 lbs and has been at the shelter since February 5, 2026. Harley enjoys spending time with people, playing with toys, and going for walks. He has been tolerant with other dogs and is ready to find a family who will keep him safe and comfortable.",Senior (8+yrs),Large (60+),Neutered,2026-06-13 08:05:26.2387+00
PACC-A894897,e683325722c00bd34014b45217e340fa75f430e14f85645985b1b0467cbef799,Balto,"1 yr, 3 mo",51 lbs,Akita Mix,Male,Pima Animal Care Center,Kennel D002,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A894897,"Balto has been at the shelter since March 9, 2026. He is looking for a forever home where he can decompress from shelter life.","[""Neutered male"",""Akita mix"",""Ready for adoption"",""At shelter since Mar 09, 2026""]",[],[],"[""Learning to trust people"",""Playful with other dogs"",""Observant and careful""]","[""Shy and unsure with new people""]","[""Patient family"",""Time to decompress from shelter life""]",[],Balto has been playful when meeting other dogs in playgroup.,Balto is shy and learning to trust people; he approaches for treats but is not yet comfortable with petting.,N/A,N/A,Visit during regular business hours or email pacc.adopt@pima.gov for adoption questions.,"[""I have been at the shelter since Mar 09, 2026"",""I am a neutered male, brown and white Akita mix"",""Balto is a shy guy who is learning the routines in the shelter"",""He’s hoping to join yours!""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-06 00:01:39.732538+00,2026-06-15 05:02:10.232236+00,"Balto is a neutered male Akita mix who is currently at the Pima Animal Care Center. He has been at the shelter since March 9, 2026, and is ready for adoption. Balto is a shy dog who is learning to trust people and is looking for a patient family to help him adjust to a new home. He enjoys the company of other dogs and has been playful in playgroup.",Young (1-3yrs),Medium (25-60lbs),Neutered,2026-06-14 22:05:56.291306+00
PACC-A887915,4473e927431262886d30a92675d15a43c3033e45b45b1abec40d50bdee6c3907,Mariposa,"2 yr, 6 mo",63 lbs,Pit Bull Terrier,Female,Pima Animal Care Center,Kennel D129,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A887915,"Mariposa has been at the shelter since Dec 11, 2025.","[""Mariposa is a spayed female."",""Mariposa is a Pit Bull Terrier.""]",[],[],"[""Great walking companion."",""Social and tolerant with other dogs."",""Easygoing in playgroup.""]","[""Needs time to decompress from shelter stress.""]","[""A family who can provide time and patience.""]",[],"Mariposa has been social, tolerant, and easygoing when meeting other dogs.",Mariposa is hopeful for a family and has shown good behavior with people.,N/A,N/A,"If you are interested in adopting this pet, visit us during regular business hours. Please email pacc.adopt@pima.gov for any questions regarding the adoption process.","[""I weigh approximately 63.20 lbs."",""I am about 2 years and 6 months old."",""I have been at the shelter since Dec 11, 2025."",""I am a spayed female, gray and white Pit Bull Terrier."",""Mariposa is a great walking companion!"",""Mariposa has been social, tolerant and easygoing when meeting other dogs.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 22:00:37.920034+00,2026-06-15 04:00:46.175635+00,null,Young (1-3yrs),Large (60+),Spayed,2026-06-14 18:07:34.826993+00
PACC-A898581,7b78fd3d5d92d3f4ef089bcb70bac133ea4bfe82ed8d30f7ea1703586f3e9dd0,Carly,"2 yr, 2 mo",60 lbs,Rottweiler and Alaskan Husky Mix,Female,Pima Animal Care Center,Kennel D210,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A898581,"Carly has been at the shelter since April 25, 2026.","[""Carly is a spayed female."",""Carly is a Rottweiler and Alaskan Husky mix."",""Carly is approximately 60 lbs."",""Carly has been at the shelter since April 25, 2026.""]",[],[],"[""Carly is easy to handle."",""Carly is well-behaved during walks."",""Carly enjoys grooming and TLC."",""Carly is tolerant with other dogs.""]",[],"[""Carly would thrive in a home that values self-care and companionship.""]",[],Carly shares her kennel with another dog and has been tolerant and independent when meeting other dogs in playgroup.,Carly is friendly and easy to handle with people.,N/A,N/A,"If you are interested in adopting this pet, visit us during regular business hours or email pacc.adopt@pima.gov for questions regarding the adoption process.","[""I am a spayed female, black and cream Rottweiler and Alaskan Husky."",""Carly is a really nice girl who is easy to handle."",""Carly shares her kennel with another PACC pup and has been tolerant and independent when meeting other dogs.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 23:31:13.582687+00,2026-06-13 09:00:40.274679+00,"Carly is a lovely spayed female black and cream Rottweiler and Alaskan Husky mix. She has been at the shelter since April 25, 2026, and is ready to go home today. Carly enjoys a little TLC and is known for her gentle demeanor. She is easy to handle and well-behaved during walks. Carly shares her kennel with another dog and has shown tolerance in playgroup settings.",Young (1-3yrs),Large (60+),Spayed,2026-06-12 03:07:56.761083+00
HSSA-47531202,a502141b7a43edb1d849034db430068bd18bbb8df31b0632dc9cdb1e3b3e6d41,Lola,"4 yr, 1 mo",59 lbs,Unknown,Female,Humane Society of Southern Arizona,"Tucson, AZ",https://www.adoptapet.com/pet/47531202,Lola has no known history and is a bit of a mystery.,"[""4 years old"",""59 lbs"",""Female""]",[],[],"[""Calm presence"",""Loving"",""Enjoys attention""]",[],"[""Needs patience and kindness as she settles in""]",[],null,null,null,null,null,"[""4-year-old girl"",""calm, loving presence"",""needs patience and kindness""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-04 13:11:44.11038+00,2026-06-15 06:01:50.423664+00,"Lola is a lovely 4-year-old girl who’s ready to leave her stray days behind and start her happily-ever-after! She enjoys attention from her people and has a calm, loving presence that makes her easy to adore. Lola would thrive in a home that can give her patience and kindness as she settles in and builds trust. If you’re looking for a loyal companion to write a brand-new story with, Lola is ready to be your leading lady!",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-14 18:58:57.863234+00
NYCACC-237718,e75cd0bc308a4be1497f8721ebfb8984816f104239d84b611d996fddb17c56e8,Elma,5 yr,60 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/237718,Elma arrived at the shelter terrified but has shown resilience and affection. She has been in care for 262 days since her intake on 2025-09-26.,"[""Elma is a female dog."",""She is currently in foster care."",""Elma has been in care for 262 days.""]","[""Requires slow introductions to new people and places."",""Would do best in a home without very tiny humans.""]","[""Altered status is unknown."",""Breed is unknown.""]","[""Loving and affectionate."",""Energetic and enjoys playtime."",""Curious about her surroundings.""]","[""Has medical needs that will be addressed during a meet-and-greet.""]","[""A home without very tiny humans."",""A home with older children may be possible after introductions.""]","[""Elma loves to be loved but on her own terms."",""Training may be needed to continue her learning.""]",null,"Elma requires slow introductions to new people and would do best in a home without very tiny humans, although she may be open to older children after meeting them.",null,Elma has medical needs that staff will address with you when you meet her.,Elma's adoption fee has been reduced due to her long stay.,"[""\""Elma is a loving, cuddle bug, with a ton of strength and energy for frequent playtimes.\"""",""\""I have medical needs that staff will address with you when you meet me.\"""",""\""I would appreciate slow introductions to new people and places to help me feel safe.\""""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 22:03:44.593618+00,2026-06-15 08:31:35.188563+00,"Elma is a loving, energetic female dog currently in foster care. She enjoys adventures like walks and car rides, but also loves to cuddle and relax. Elma has some medical needs that will be discussed during a meet-and-greet. She requires slow introductions to new people and would do best in a home without very small children.",Adult (3-7yrs),Large (60+lbs),N/A,2026-06-14 20:51:55.829949+00
PACC-A883505,30cdcc4037bc69a179d3725cfa00f33b0bb017c70675f3dc16c74eee08f210cf,Lunox,"2 yr, 8 mo",55 lbs,American Pit Bull Terrier,Male,Pima Animal Care Center,Kennel D119,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A883505,Lunox came to PACC as a stray and has been building confidence during his time at the shelter.,"[""Neutered male"",""American Pit Bull Terrier"",""Weight: 55 lbs"",""Age: 2 yr, 8 mo"",""At shelter since Oct 18, 2025""]",[],[],"[""Gentle and sweet"",""Social and tolerant with other dogs"",""Building confidence"",""Easy to leash and walk""]","[""Shy at first""]","[""Needs a patient adopter"",""Can thrive with time and encouragement""]",[],Lunox has been social and tolerant when meeting other dogs in playgroup.,Lunox is a tad shy at first but is sweet and gentle once comfortable.,N/A,N/A,Visit during regular business hours or email pacc.adopt@pima.gov for questions regarding the adoption process.,"[""I have been at the shelter since Oct 18, 2025"",""I am a neutered male, white and black American Pit Bull Terrier"",""Lunox is such a cutie. A tad shy at first, but as sweet as they come."",""He is gentle and sweet, and just needs a tiny bit of time to open up!"",""Lunox shares his kennel with another PACC pup and has been social and tolerant when meeting other dogs in playgroup.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 23:31:31.637349+00,2026-06-13 09:01:04.843318+00,"Lunox is a handsome and brave American Pit Bull Terrier who has been at the shelter since October 18, 2025. He is a neutered male, weighing approximately 55 lbs. Lunox is a bit shy at first but warms up quickly with gentle encouragement. He has been social and tolerant with other dogs and is looking for a patient adopter who can help him settle into a new home.",Young (1-3yrs),Medium (25-60lbs),Neutered,2026-06-13 08:06:42.55971+00
MP-001570,f15f5ad7189eeb708b44b92dd2fbdfe44aa22dcf9fd0f0c2c158a723d8fc7a3b,Posie,6 yr,48 lbs,"American Blue Heeler, Mixed Breed (Medium)",Female,Muddy Paws Rescue,"NYC, NY",https://www.muddypawsrescue.org/adoptable?dog=001570,Posie is available for adoption through Muddy Paws Rescue.,"[""Microchipped"",""Up to date on all age-appropriate medical care""]",[],"[""Breed is unknown as no DNA test has been done.""]","[""Sweet and friendly"",""Loves long walks"",""Enjoys snuggles"",""High energy"",""Laid back at home""]",[],"[""Best fit as solo dog"",""Best fit for a quiet neighborhood"",""Home without small animals preferred""]",[],"Best fit as solo dog, home without small animals preferred.","Friendly with humans, enjoys affection.",N/A,Up to date on all age-appropriate medical care.,Begin the registration process at www.muddypawsrescue.org.,"[""Posie's a sweet, friendly, and gentle lady"",""fully grown at 48 pounds"",""They are microchipped and up to date on all age-appropriate medical care"",""This dog is available for adoption through Muddy Paws Rescue.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 23:03:28.065763+00,2026-06-15 13:00:30.83367+00,"Posie is a sweet, friendly, and gentle lady who loves long walks, snuggles, and hanging out with her humans. She is high energy and enjoys sniffing on walks but is also laid back at home, preferring to relax on the couch. Posie loves carrots, treats, and being mentally stimulated with food games and puzzles. She is microchipped and up to date on all age-appropriate medical care.",Adult (3-7yrs),Medium (25-60lbs),Spayed,2026-06-15 12:01:39.924578+00
NYCACC-33504,bfb143222a87929fc5758da364d3b4a5d71af413b9bc361caf4459aad7c613a0,Ronnie,11 yr,61 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/33504,"Ronnie was taken in by the shelter on June 23, 2024, and has been in care for 721 days. She is currently in a foster home.","[""Ronnie is a long-stay pup with an adoption fee reduction."",""She is crate trained and almost completely housetrained."",""Ronnie has lived with other pets in her previous home.""]","[""Ronnie may be intimidated by young children.""]","[""Ronnie's exact breed is unknown."",""Ronnie's health concerns are not specified in detail."",""Ronnie's behavior with cats is unknown.""]","[""Ronnie is a great cuddle buddy."",""She enjoys belly rubs and ear scratches."",""Ronnie is nonreactive to humans and dogs on walks.""]","[""Ronnie pulls moderately on the leash.""]","[""Ronnie needs a home with older, gentle children."",""She would benefit from a slow introduction to resident pets.""]","[""Ronnie should be allowed to greet and initiate interactions at her own pace."",""Potential adopters should be patient and understanding with her."",""A 2-week trial adoption is offered to see if she fits with the family.""]",Ronnie has lived with other pets and politely greeted another dog at the shelter.,Ronnie may be intimidated by young children and needs a slow approach to new people.,Ronnie is crate trained and sleeps late in the morning.,Ronnie has some health concerns that staff will discuss with adopters.,Ronnie is available for adoption with a reduced fee due to her long stay.,"[""Ronnie may be the world's best cuddle buddy."",""She enjoys going on long walks but also happy laying around."",""Ronnie has lived with other pets in her previous home.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 20:31:00.846121+00,2026-06-15 04:01:56.340392+00,"Ronnie is a long-stay pup who has been in care for over 700 days. She enjoys cuddling, belly rubs, and ear scratches, and is happy to go on long walks or relax at home. Ronnie has some health concerns that the staff will discuss with potential adopters. She is crate trained and almost completely housetrained, making her a great companion for the right family.",Senior (8+yrs),Large (60+lbs),N/A,2026-06-14 12:30:15.953453+00
NYCACC-145118,3503f806dae87aed9e99dd08e4d1a8c6acfbd18795248eed1453c58470b0992f,Mika,7 yr,75 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/145118,"Mika was taken in by the shelter on June 7, 2022, and has been in care for 1468 days. She is currently in a foster home.","[""Mika is a loving and sweet dog."",""She enjoys snuggling and playing with her ball."",""Mika is friendly to people and kids."",""She is learning to walk nicely on the leash."",""Mika takes treats very gently.""]","[""Should be the only pet in the home."",""Not suitable for homes with small children.""]",[],"[""Eager to please and learns quickly."",""Joyful and loving companion."",""Enjoys being outside.""]","[""Still adjusting to being around other dogs, cats, and squirrels."",""Needs help with leash manners.""]","[""Experienced home without tiny humans or other animals.""]",[],Mika is still adjusting to being around other dogs and cats.,"Mika is friendly to people and kids, greeting everyone with a wagging tail.",N/A,N/A,Mika's adoption fee has been reduced due to her long stay.,"[""Mika is a very loving and sweet dog."",""She wants nothing more than to lay with you on the couch or bed and snuggle up to you."",""She has been learning to walk nicely on the leash."",""Mika does snore when she sleeps and can even snore when she's awake!"",""She should be the only pet in the home and, because of her strength and excitability, a home with no small children.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 20:31:57.504171+00,2026-06-15 04:02:23.005624+00,"Mika is a loving and sweet dog who enjoys snuggling and playing with her ball. She is friendly to people and kids, greeting everyone with a wagging tail. Mika is energetic and enjoys being outside, but she should be the only pet in the home and would do best in a home without small children. Her adoption fee has been reduced due to her long stay in the shelter. Mika is eager to please and learns quickly, making her a joyful companion.",Adult (3-7yrs),Large (60+lbs),N/A,2026-06-14 14:59:28.029605+00
NYCACC-251826,9e8398cc66e9f8702da9d9bac471596116de09ec64b24eb8e58dfc634c2517e3,Dipity,6 yr,53 lbs,Unknown,Male,Animal Care Centers of NYC,"Manhattan, PAC - Dog Room",https://nycacc.app/#/browse/251826,"Dipity was found alone in a park and brought to the shelter as a stray. He has been in care since April 12, 2026.","[""Dipity is on the at-risk list due to medical concerns."",""He was suspected to have hematuria, which means there was noted blood in his urine."",""His recent urine analysis supports that this is still unresolved."",""Dipity walks well on leash and follows his handler with a calm, neutral body.""]","[""Dipity's behavior around other dogs is still unclear."",""Recommended for a home without young children under 5 due to his fearful behavior.""]","[""His exact breed is unknown."",""His altered status is unknown.""]","[""Dipity is quiet and observant."",""He has great leash manners and is interested and friendly with other dogs without being aggressive."",""He is a very sweet boy.""]","[""Dipity is still adjusting to new environments and benefits from time and space to feel comfortable."",""He may not seek attention right away and can appear reserved when first approached.""]","[""A calm, low-traffic home with a consistent routine."",""Patient adopters who can let him adjust at his own pace without pressure."",""A quiet environment will help him feel more secure over time.""]","[""Slow, structured introductions and careful management would be needed in a home with other pets."",""He benefits from patience as he continues to build confidence in new environments.""]",Dipity's behavior around other dogs is still unclear; slow introductions are needed.,Dipity may appear reserved when first approached but can relax with gentle handling and patience.,He walks well on leash and follows his handler calmly.,Dipity has unresolved medical concerns related to hematuria and may require further diagnostics.,This pet needs emergency placement.,"[""Dipity is on the at-risk list due to medical concerns."",""He was found alone in a park and brought to the shelter as a stray."",""Dipity walks well on leash and follows his handler with a calm, neutral body.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-06 07:38:08.116391+00,2026-06-15 04:02:33.916912+00,"Dipity is a male dog who was found alone in a park and brought to the shelter as a stray. He is still adjusting to new environments and benefits from time and space to feel comfortable. Once settled, he is able to move through his surroundings calmly with a steady, neutral presence. Dipity is quiet and observant in new situations, requiring gentle handling and patience to relax and tolerate interaction.",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-13 22:46:27.209282+00
NYCACC-163999,87635eef937a3c32e9c87652a911270f195e3694f73e476aa6d6dca000308539,Dakota,9 yr,68 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/163999,"Dakota came to ACC after receiving positive reviews from her previous home, which included multiple adults, children, and other dogs. She has been in foster care since February 3, 2023.","[""Affectionate and caring"",""Fully housetrained"",""Can be left alone for several hours"",""Loves everyone"",""Good with cats in a foster setting"",""Knows commands like 'sit', 'paw', and 'down'"",""Excitable on leash around larger dogs"",""Excellent in dog parks"",""Enjoys outdoor activities like jogging and hiking""]",[],"[""Not introduced to children in current foster setting""]","[""Affectionate"",""Curious"",""Caring"",""Good with other animals"",""Playful"",""Energetic outdoors"",""Relaxed indoors""]",[],"[""Active home"",""Loves outdoor activities"",""Appreciates affection and attention""]",[],Dakota has done well with other dogs and has been introduced to cats in a foster setting.,Dakota loves people but may take a small amount of time to warm up to new individuals.,N/A,N/A,Adoption fee has been reduced due to long stay.,"[""Fully housetrained"",""Loves everyone"",""Excitable on leash when passing larger dogs"",""Excellent in the open space of the dog park"",""Enjoys running along the water and on NYC bridges"",""Loves to be pet and encouraged"",""Happy to get dressed up in various outfits""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 20:32:05.984274+00,2026-06-15 04:03:00.132682+00,"Dakota is a 9-year-old female dog currently in foster care. She is affectionate, curious, and caring, and has been fully housetrained. Dakota enjoys being around people and has a friendly disposition towards other dogs and cats. She is energetic outdoors but relaxed at home, making her a great companion for various activities, including jogging and hiking. Dakota is also known for her playful nature and enjoys dressing up in festive outfits.",Senior (8+yrs),Large (60+lbs),N/A,2026-06-14 14:59:29.427698+00
HSSA-47471543,2623356bb3a9c3928e0f2fd0a20ad435a332cf7f36f02ac58746c523b00e494b,Quincy,"6 yr, 2 mo",64 lbs,Mixed-Breed,Female,Humane Society of Southern Arizona,"Tucson, AZ",https://www.adoptapet.com/pet/47471543,Quincy is at the Humane Society of Southern Arizona.,"[""6 years old"",""Mixed-breed"",""Female"",""64 lbs"",""Looking for an only-dog home""]",[],[],"[""Affectionate"",""Gentle"",""Loyal"",""Enjoys playtime with toys""]",[],"[""Calm environment"",""Loving home"",""Only-dog household""]",[],Quincy is looking for an only-dog home.,"Quincy has a sweet, affectionate nature and forms strong bonds with her people.",N/A,N/A,N/A,"[""6-year-old mixed-breed sweetheart"",""true couch potato"",""forms strong bonds with her people"",""adore her toys"",""looking for an only-dog home""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-04 17:11:09.290912+00,2026-06-15 04:03:07.789962+00,"Quincy is a 6-year-old mixed-breed sweetheart with a heart as soft as her favorite stuffies. This gentle girl is a true couch potato—she’s happiest curled up beside you, soaking in all the love and relaxation a cozy home can offer. Quincy has a sweet, affectionate nature and forms strong bonds with her people, always ready for snuggles or a quiet companion moment. She absolutely adores her toys and will happily entertain herself or invite you to join in her gentle playtime.",Adult (3-7yrs),Large (60+lbs),N/A,2026-06-14 20:53:52.942272+00
NYCACC-250552,e67ad6a296bf947d381c23244d06324222133d88acbbf0b62b9038b524713935,Garfield,1 yr,54 lbs,Unknown,Male,Animal Care Centers of NYC,"Queens, Room: 115 - Dog Adoptions A",https://nycacc.app/#/browse/250552,"Garfield was found as a stray on Flatbush Avenue, skinny and bleeding from his ear. He has been in care since May 22, 2026.","[""Garfield is a year old."",""He weighs 54.25 lbs."",""He is a male dog."",""He was found as a stray."",""He is rated for beginner adopters.""]",[],"[""Altered status is unknown."",""Medical needs are not specified.""]","[""He is playful and cute."",""He has great manners."",""He is easy to walk."",""He is social and silly.""]","[""He needs daily physical activity."",""He requires a patient person for training.""]","[""A home that can provide daily physical activity."",""A patient owner who can work on training.""]",[],null,Garfield loves getting pets and snuggles.,null,null,null,"[""Garfield was found as a stray with part of his ear missing."",""He loves playing with toys, especially the squeaky one."",""He is great with essential training commands-sit, stay, and lie down."",""He has been social, silly, and easy going.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 23:56:12.663807+00,2026-06-15 06:03:10.924416+00,"Garfield is a sweet and playful one-year-old male dog who was found as a stray. He has a charming personality and enjoys playing with toys, especially squeaky ones. Garfield is great with basic commands and is easy to walk. He loves being around people and is ready to learn more. Despite his past, he remains trusting and affectionate.",Young (1-3yrs),Medium (25-60lbs),N/A,2026-06-13 18:58:02.741611+00
